bug.id,revision.id.buggy,revision.id.fixed,revision.date.buggy,revision.date.fixed,report.id,report.url
46,16656455420aae8a33bcd60e9a71b33841d22624,9a5b9ec253f145fff8fe80f602705302de1802f4,2015-01-17 14:36:49 +0000,2015-01-22 08:53:43 +0000,OPENNLP-730,https://issues.apache.org/jira/browse/OPENNLP-730
47,af2430ddcd10c566d95bac88e6490dcfbd707efb,ce8b89d7fb5d68814fc7affc9366e259ea37e71a,2014-12-10 15:53:37 +0000,2014-12-18 16:42:04 +0000,OPENNLP-739,https://issues.apache.org/jira/browse/OPENNLP-739
48,28380fe35314ed0289256c95d5fb8dd02a63a32d,c9c4dfa594ab2901ba627d68c0fc043806ec0ab1,2015-01-28 08:48:25 +0000,2015-01-28 12:22:32 +0000,OPENNLP-744,https://issues.apache.org/jira/browse/OPENNLP-744
49,c0c2dd5cea98bd0343e45e3de226cfd498d772d3,4130591c2d36a03f541bca22e97eacbfb5e4f581,2015-01-29 11:11:58 +0000,2015-01-30 23:00:15 +0000,OPENNLP-749,https://issues.apache.org/jira/browse/OPENNLP-749
50,49104fcd91a4d8b9f4f002e9c7642203efba3162,7b0a0c05c0c1e8fcf3f4174ca93bb2b3d62d9bba,2015-04-01 13:18:51 +0000,2015-04-07 12:00:57 +0000,OPENNLP-751,https://issues.apache.org/jira/browse/OPENNLP-751
51,86c865636872b15862b55f3b404c741aa36ec67b,1d997e4fa296de5bfbdc218baabf4cbde0b5bbb8,2015-03-06 13:43:53 +0000,2015-03-06 14:57:37 +0000,OPENNLP-762,https://issues.apache.org/jira/browse/OPENNLP-762
52,b6b44e665ca6dbb57d77faeab00d0bc15e8675f0,58fc35928ea59967b41f0bbce5aed656c0657a47,2015-05-20 10:02:20 +0000,2015-05-20 12:22:31 +0000,OPENNLP-778,https://issues.apache.org/jira/browse/OPENNLP-778
53,7014a432f0da50ccd64c288099dcc011ded6938d,b1c755e256a3f3ada60a86ca7b04d0be4774ccb3,2015-05-27 13:40:15 +0000,2015-05-28 11:34:43 +0000,OPENNLP-784,https://issues.apache.org/jira/browse/OPENNLP-784
54,c95a1075679127fb5675348d20ea444bd0c9a444,f625d775dc76afa1546233ff1b8dfac4ebbfcd48,2015-05-28 21:22:56 +0000,2015-05-29 07:38:37 +0000,OPENNLP-785,https://issues.apache.org/jira/browse/OPENNLP-785
55,d9a3d765a4f631600a28c44c9d9dd008460b467b,ce40dc79f59688d738c04e9079bf0e36ad258375,2015-06-16 13:29:36 +0000,2015-07-29 08:26:01 +0000,OPENNLP-799,https://issues.apache.org/jira/browse/OPENNLP-799
56,9c5292b67c2c89ff7f5e752d559f6072e6525f1f,51dec1df8d0d43e79849abac2fcbff2934538c4c,2015-08-12 13:41:32 +0000,2015-09-03 07:30:24 +0000,OPENNLP-810,https://issues.apache.org/jira/browse/OPENNLP-810
57,05d38664b3edde552ee4c4a2d79b27de0feee9e6,2a2d83840cb4bbf360a3f70be308ffa231f06919,2016-03-14 07:51:01 +0000,2016-04-27 08:35:05 +0000,OPENNLP-835,https://issues.apache.org/jira/browse/OPENNLP-835
58,dfbf61485179f5c020a4f4a5e57db61451ad3c37,3b150986e192686a30508b2690434a8b4bace9fa,2016-12-25 19:25:12 -0500,2016-12-26 13:40:56 -0500,OPENNLP-845,https://issues.apache.org/jira/browse/OPENNLP-845
59,67ffda9ac16092c04dec7b4b857c48f8db53a7c9,66336833dbcff38eb7c26595ccc15f7260450cba,2016-12-31 17:08:09 +0100,2016-12-31 18:56:14 +0100,OPENNLP-906,https://issues.apache.org/jira/browse/OPENNLP-906
60,189b6fb17acf08680f7bcdcb27ea030f5439cfdf,c63413182017e069393963d07570ec69f373ee1b,2017-01-10 19:56:53 -0500,2017-01-10 22:21:34 +0100,OPENNLP-929,https://issues.apache.org/jira/browse/OPENNLP-929
61,91d0ce5a299b64d8502a5aa834db9be27cbd9f82,5166f3dd04980177e46293408d998087040d4c19,2017-01-24 12:05:36 -0500,2017-01-24 12:08:14 -0200,OPENNLP-955,https://issues.apache.org/jira/browse/OPENNLP-955
62,5166f3dd04980177e46293408d998087040d4c19,eb19eaaf33695abbdb032f8f60e121a73a33b6d4,2017-01-24 12:08:14 -0200,2017-01-25 14:29:35 +0100,OPENNLP-959,https://issues.apache.org/jira/browse/OPENNLP-959
63,d37041ca62ea9eab6e777bffc15ddab49941217a,b14ad2e30a3f6f8e3112b375a1379f5eefb09050,2017-01-27 14:36:26 +0100,2017-01-27 16:37:53 +0100,OPENNLP-961,https://issues.apache.org/jira/browse/OPENNLP-961
64,eb19eaaf33695abbdb032f8f60e121a73a33b6d4,8fb2b8b4b1526058121783712d3f394951a2e196,2017-01-25 14:29:35 +0100,2017-01-25 19:44:17 -0500,OPENNLP-963,https://issues.apache.org/jira/browse/OPENNLP-963
65,f60bfa2ca28251c841e39899e1714dd1af21f192,ebf108170e9a6215176174d84313a0564ddde0c4,2017-02-28 13:28:05 -0500,2017-03-02 20:25:28 +0100,OPENNLP-989,https://issues.apache.org/jira/browse/OPENNLP-989
66,ce4385a413dc822f8849678608d0bbac2defbb81,b188b5ccc0f1f8702313eab62a5dcc164f817200,2017-04-11 21:19:01 +0200,2017-04-14 12:35:36 -0300,OPENNLP-1010,https://issues.apache.org/jira/browse/OPENNLP-1010
67,cb52b273e76f074e402a9cd04d00fcc5c4695588,39543151993c21cfde1b29c9a130a762339f4deb,2017-03-26 16:40:20 -0400,2017-04-09 19:37:34 +0200,OPENNLP-1011,https://issues.apache.org/jira/browse/OPENNLP-1011
