bug.id,revision.id.buggy,revision.id.fixed,revision.date.fixed,report.id,report.url
32,e5e8ec48f73b27b17dc60daaf184d481738f1fba,1f5b8095272bd0516f8a1d352a0a6eaa00d7e096,2011-03-13 00:33:59 +0000,NET-354,https://issues.apache.org/jira/browse/NET-354
33,b6916b6bbbdf23d0b24d273e4693cc19e1d73080,3ce46ae21184aeb703468a3e1628b8de006fde02,2011-02-22 02:23:12 +0000,NET-359,https://issues.apache.org/jira/browse/NET-359
34,ad39cce40fb518021ec1b7b11af61fb4328ff357,c55f56d6459fc8c8a9a0df19cba54b3f8ca93de4,2011-03-22 17:22:48 +0000,NET-362,https://issues.apache.org/jira/browse/NET-362
35,6986685e30874e009b537da8db5cceeee831020e,03da017dfc0a0a033c9f9cbb07f40df2f7024070,2011-03-05 21:05:41 +0000,NET-363,https://issues.apache.org/jira/browse/NET-363
36,4e9bd7f4681f6cd5efcb00f0360c0c3c2a5e8a91,1226cb414d62e0f7f9b2433fd8f6a839f9208594,2011-03-08 22:22:04 +0000,NET-364,https://issues.apache.org/jira/browse/NET-364
37,ee0a6a094b212a4ca688f167bf9229601b52df8f,92a49d9f04650358740bdc854022ddc918f9a8a9,2011-03-10 01:03:44 +0000,NET-365,https://issues.apache.org/jira/browse/NET-365
38,8dbb4478ddaae61c259b9e0a2328f3d0416eaf67,ee0a6a094b212a4ca688f167bf9229601b52df8f,2011-03-09 12:00:43 +0000,NET-366,https://issues.apache.org/jira/browse/NET-366
39,2f51bef387030f95be40cf3645b8fead45dde008,f362322ddb6f3ed05cbb8427f8e3dd2e568bbde4,2011-04-05 22:22:22 +0000,NET-399,https://issues.apache.org/jira/browse/NET-399
40,4d43ad4001c5196e5cde5b7c009bf57fec1b64da,1eaa52321395b5f58cbaf6caa27f2bec6f2fe406,2011-04-05 22:06:07 +0000,NET-402,https://issues.apache.org/jira/browse/NET-402
41,1f22cb625c2b4a084258f816961153e0951c9e2b,11f725ec69d1aedc1302f50609c8a49d52fefc6d,2011-05-23 19:52:37 +0000,NET-409,https://issues.apache.org/jira/browse/NET-409
42,ed22efa425b044aa72e1d80ede10d3be49951a30,760661dfd35d3c51f4aaddf914b32223787ad0c7,2012-01-10 19:14:47 +0000,NET-410,https://issues.apache.org/jira/browse/NET-410
43,760661dfd35d3c51f4aaddf914b32223787ad0c7,b5ac3314309acc4cded8f65cf50adeb7a1c13f95,2012-01-10 19:19:35 +0000,NET-412,https://issues.apache.org/jira/browse/NET-412
